Fault Category ,Agent Behavior ,Fault Tolerance Summary
Inexecutable Plan,Ignores inexecutable parts and continues,Reasoning-level FT: Success
Inexecutable Plan,Responds to the error but ultimately fails,Mechanism-level FT: Success; Reasoning-level FT: Failure
Inexecutable Plan,No corrective behavior,Fault tolerance missing
Tool Selection Error,Agent identifies and corrects,Mechanism-level FT: Success; Reasoning-level FT: Success
Tool Selection Error,System uses redundancy or retry mechanisms,Mechanism-level FT: Success
Tool Selection Error,Uses partial repair coordination or multipath compensation,Mechanism-level FT: Success; Reasoning-level FT: Success
Tool Selection Error,Responds to the error but ultimately fails,Mechanism-level FT: Success; Reasoning-level FT: Failure
Tool Selection Error,No corrective behavior,Fault tolerance missing
Parameter Filling Error,Agent identifies and corrects ,Mechanism-level FT: Success; Reasoning-level FT: Success
Parameter Filling Error,System uses redundancy or retry mechanisms,Mechanism-level FT: Success
Parameter Filling Error,Uses partial repair coordination or multipath compensation,Mechanism-level FT: Success; Reasoning-level FT: Success
Parameter Filling Error,Responds to the error but ultimately fails,Mechanism-level FT: Success; Reasoning-level FT: Failure
Parameter Filling Error,No corrective behavior,Fault tolerance missing
Tool Format Error,Agent identifies and corrects ,Mechanism-level FT: Success; Reasoning-level FT: Success
Tool Format Error,Uses partial repair coordination or multipath compensation,Mechanism-level FT: Success; Reasoning-level FT: Success
Tool Format Error,Responds to the error but ultimately fails,Mechanism-level FT: Success; Reasoning-level FT: Failure
Tool Format Error,System uses redundancy or retry mechanisms,Mechanism-level FT: Success
Tool Format Error,No corrective behavior,Fault tolerance missing
Memory Loss,Uses external information sources to repair,Mechanism-level FT: Success; Reasoning-level FT: Success
Memory Loss,Autonomously restores missing memory,Reasoning-level FT: Success
Memory Loss,Restores missing memory via inherent process,Mechanism-level FT: Success
Memory Loss,Ignores missing memory,Reasoning-level FT: Failure
Memory Loss,Avoids using missing memory,Reasoning-level FT: Success
Context Length Violation,Asks the user for key information,Mechanism-level FT: Success; Reasoning-level FT: Success
Context Length Violation,Automatically ignores irrelevant long context,Reasoning-level FT: Success
Context Length Violation,No corrective behavior,Fault tolerance missing
Context Length Violation,System architecture filters long context,Logical-level FT: Success
