Test System,Base Model,Failure Type,Task ID,Agent Behavior Category,Task Result
MetaGPT,deepseek-v3,Blind Trust,40,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,41,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,42,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,43,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,44,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,46,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,47,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,48,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,49,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,50,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,51,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,52,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,54,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,55,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,57,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,58,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,59,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,60,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,61,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,62,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,63,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,64,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,66,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,68,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,69,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,70,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,71,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,72,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,73,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,74,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,75,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,76,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,77,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,78,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,79,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,80,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,81,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,82,Judges independently and corrects successfully,FAIL
MetaGPT,deepseek-v3,Blind Trust,83,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,85,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,86,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,87,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,89,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,90,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,91,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,92,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,94,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,95,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,96,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,97,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,98,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,99,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,100,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,101,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,103,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,104,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,105,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,106,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,107,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,108,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,109,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,110,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,111,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,112,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,113,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,114,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,115,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,117,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,118,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,119,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,120,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,121,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,122,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,123,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,124,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,125,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,126,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,128,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,130,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,131,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,134,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,135,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,136,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,137,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,138,Judges independently but correction fails,FAIL
MetaGPT,deepseek-v3,Blind Trust,139,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,140,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,141,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,142,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,143,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,144,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,146,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,147,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,149,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,150,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,151,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,152,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,153,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,154,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,155,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,156,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,157,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,158,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,159,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,161,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,162,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Blind Trust,163,Fully accepts incorrect information from other agents,FAIL
MetaGPT,deepseek-v3,Message Broadcast Amplification ,0,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,1,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,2,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,3,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,4,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,5,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,6,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,7,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,8,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,9,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,10,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,11,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,12,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,13,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,14,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,15,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,16,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,17,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,18,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,19,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,20,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,21,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,22,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,23,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,24,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,25,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,26,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,27,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,28,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,29,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,30,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,31,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,33,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,34,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,35,System correctly filters messages,FAIL
MetaGPT,deepseek-v3,Message Broadcast Amplification ,36,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,37,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,38,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,39,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,40,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,41,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,42,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,43,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,44,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,46,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,47,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,48,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,49,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,50,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,51,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,52,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,54,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,55,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,57,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,58,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,59,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,60,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,61,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,62,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,63,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,64,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,66,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,68,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,69,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,70,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,71,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,72,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,73,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,74,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,75,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,76,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,77,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,78,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,79,System correctly filters messages,FAIL
MetaGPT,deepseek-v3,Message Broadcast Amplification ,80,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,81,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,82,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,83,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,85,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,86,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,87,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,89,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,90,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,91,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,92,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,94,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,95,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,96,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,97,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,98,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,99,System correctly filters messages,FAIL
MetaGPT,deepseek-v3,Message Broadcast Amplification ,100,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,101,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,103,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,104,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,105,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,106,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,107,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,108,System correctly filters messages,FAIL
MetaGPT,deepseek-v3,Message Broadcast Amplification ,109,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,110,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,111,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,112,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,113,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,114,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,115,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,117,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,118,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,119,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,120,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,121,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,122,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,123,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,124,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,125,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,126,System correctly filters messages,FAIL
MetaGPT,deepseek-v3,Message Broadcast Amplification ,128,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,130,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,131,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,134,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,135,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,136,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,137,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,138,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,139,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,140,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,141,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,142,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,143,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,144,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,146,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,147,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,149,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,150,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,151,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,152,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,153,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,154,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,155,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,156,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,157,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,158,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,159,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,161,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,162,System correctly filters messages,PASS
MetaGPT,deepseek-v3,Message Broadcast Amplification ,163,System correctly filters messages,FAIL
MetaGPT,deepseek-v3,Context Length Violation,0,System architecture filters long context,PASS
MetaGPT,deepseek-v3,Context Length Violation,1,System architecture filters long context,PASS
MetaGPT,deepseek-v3,Context Length Violation,2,System architecture filters long context,PASS
MetaGPT,deepseek-v3,Context Length Violation,3,System architecture filters long context,PASS
MetaGPT,deepseek-v3,Context Length Violation,4,System architecture filters long context,PASS
MetaGPT,deepseek-v3,Context Length Violation,5,System architecture filters long context,PASS
MetaGPT,deepseek-v3,Context Length Violation,6,System architecture filters long context,PASS
MetaGPT,deepseek-v3,Context Length Violation,7,System architecture filters long context,PASS
MetaGPT,deepseek-v3,Context Length Violation,8,System architecture filters long context,PASS
MetaGPT,deepseek-v3,Context Length Violation,9,System architecture filters long context,PASS
MetaGPT,deepseek-v3,Context Length Violation,10,System architecture filters long context,PASS
MetaGPT,deepseek-v3,Context Length Violation,11,System architecture filters long context,PASS
MetaGPT,deepseek-v3,Context Length Violation,12,System architecture filters long context,PASS
MetaGPT,deepseek-v3,Context Length Violation,13,System architecture filters long context,PASS
MetaGPT,deepseek-v3,Context Length Violation,14,System architecture filters long context,FAIL
MetaGPT,deepseek-v3,Context Length Violation,15,System architecture filters long context,PASS
MetaGPT,deepseek-v3,Context Length Violation,16,System architecture filters long context,PASS
MetaGPT,deepseek-v3,Context Length Violation,17,System architecture filters long context,PASS
MetaGPT,deepseek-v3,Context Length Violation,18,System architecture filters long context,PASS
MetaGPT,deepseek-v3,Context Length Violation,19,System architecture filters long context,PASS
MetaGPT,deepseek-v3,Context Length Violation,20,System architecture filters long context,PASS
MetaGPT,deepseek-v3,Context Length Violation,21,System architecture filters long context,PASS
MetaGPT,deepseek-v3,Context Length Violation,22,System architecture filters long context,PASS
MetaGPT,deepseek-v3,Context Length Violation,23,System architecture filters long context,PASS
MetaGPT,deepseek-v3,Context Length Violation,24,System architecture filters long context,PASS
MetaGPT,deepseek-v3,Context Length Violation,25,System architecture filters long context,PASS
MetaGPT,deepseek-v3,Context Length Violation,26,System architecture filters long context,FAIL
MetaGPT,deepseek-v3,Context Length Violation,27,System architecture filters long context,PASS
